/home/lihaoyang/anaconda3/envs/SRNet/lib/python3.9/site-packages/torch/functional.py:512: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at /home/conda/feedstock_root/build_artifacts/libtorch_1716578970623/work/aten/src/ATen/native/TensorShape.cpp:3587.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
Hidden Images Shape: torch.Size([4, 6, 14, 14])
vKANPDE(
  (u_model): DiffMLP(
    (model): Sequential(
      (0): Linear(in_features=5, out_features=100, bias=True)
      (1): ReLU()
      (2): Linear(in_features=100, out_features=100, bias=True)
      (3): ReLU()
      (4): Linear(in_features=100, out_features=100, bias=True)
      (5): ReLU()
      (6): Linear(in_features=100, out_features=100, bias=True)
      (7): ReLU()
      (8): Linear(in_features=100, out_features=100, bias=True)
      (9): ReLU()
      (10): Linear(in_features=100, out_features=100, bias=True)
      (11): ReLU()
      (12): Linear(in_features=100, out_features=1, bias=True)
    )
  )
  (pde_model): KAN(
    (biases): ModuleList(
      (0): Linear(in_features=3, out_features=1, bias=False)
      (1): Linear(in_features=1, out_features=1, bias=False)
    )
    (act_fun): ModuleList(
      (0-1): 2 x KANLayer(
        (base_fun): SiLU()
      )
    )
    (base_fun): SiLU()
    (symbolic_fun): ModuleList(
      (0-1): 2 x Symbolic_KANLayer()
    )
  )
)
Input data shape: 6 torch.Size([4704]) U shape: torch.Size([4, 6, 14, 14])

Train vKANPDE:   0%|          | 0/10000 [00:00<?, ?it/s]/home/lihaoyang/anaconda3/envs/SRNet/lib/python3.9/site-packages/torch/autograd/graph.py:744: UserWarning: Attempting to run cuBLAS, but there was no current CUDA context! Attempting to set the primary context... (Triggered internally at /home/conda/feedstock_root/build_artifacts/libtorch_1716578970623/work/aten/src/ATen/cuda/CublasHandlePool.cpp:135.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
/home/lihaoyang/anaconda3/envs/SRNet/lib/python3.9/site-packages/kornia/filters/sobel.py:51: UserWarning: Plan failed with a cudnnException: CUDNN_BACKEND_EXECUTION_PLAN_DESCRIPTOR: cudnnFinalize Descriptor Failed cudnn_status: CUDNN_STATUS_NOT_SUPPORTED (Triggered internally at /home/conda/feedstock_root/build_artifacts/libtorch_1716578970623/work/aten/src/ATen/native/cudnn/Conv_v8.cpp:919.)
  out = F.conv2d(padded_inp, tmp_kernel, groups=1, padding=0, stride=1)

Train vKANPDE:   0%|          | 0/10000 [00:00<?, ?it/s, step_loss=1.11, step_pd_loss=0.29, step_pde_loss=0.00114, step_regularization=0, step_u_loss=0.823]
Train vKANPDE:   0%|          | 1/10000 [00:00<1:07:40,  2.46it/s, step_loss=1.11, step_pd_loss=0.29, step_pde_loss=0.00114, step_regularization=0, step_u_loss=0.823]
Train vKANPDE:   0%|          | 1/10000 [00:00<1:07:40,  2.46it/s, step_loss=1.04, step_pd_loss=0.289, step_pde_loss=0.0216, step_regularization=0.012, step_u_loss=0.733]
Train vKANPDE:   0%|          | 1/10000 [00:00<1:07:40,  2.46it/s, step_loss=0.937, step_pd_loss=0.288, step_pde_loss=0.0203, step_regularization=0.0114, step_u_loss=0.629]
Train vKANPDE:   0%|          | 1/10000 [00:00<1:07:40,  2.46it/s, step_loss=0.778, step_pd_loss=0.288, step_pde_loss=0.0104, step_regularization=0.00663, step_u_loss=0.48]
Train vKANPDE:   0%|          | 1/10000 [00:00<1:07:40,  2.46it/s, step_loss=0.769, step_pd_loss=0.289, step_pde_loss=0.0128, step_regularization=8.76e-5, step_u_loss=0.468]
Train vKANPDE:   0%|          | 5/10000 [00:00<13:48, 12.06it/s, step_loss=0.769, step_pd_loss=0.289, step_pde_loss=0.0128, step_regularization=8.76e-5, step_u_loss=0.468]  
Train vKANPDE:   0%|          | 5/10000 [00:00<13:48, 12.06it/s, step_loss=0.761, step_pd_loss=0.284, step_pde_loss=0.0164, step_regularization=0.00457, step_u_loss=0.461]
Train vKANPDE:   0%|          | 5/10000 [00:00<13:48, 12.06it/s, step_loss=0.714, step_pd_loss=0.28, step_pde_loss=0.0158, step_regularization=0.00605, step_u_loss=0.419] 
Train vKANPDE:   0%|          | 5/10000 [00:00<13:48, 12.06it/s, step_loss=0.717, step_pd_loss=0.278, step_pde_loss=0.012, step_regularization=0.0049, step_u_loss=0.427] 
Train vKANPDE:   0%|          | 5/10000 [00:00<13:48, 12.06it/s, step_loss=0.72, step_pd_loss=0.276, step_pde_loss=0.00584, step_regularization=0.0017, step_u_loss=0.438]
Train vKANPDE:   0%|          | 9/10000 [00:00<08:34, 19.42it/s, step_loss=0.72, step_pd_loss=0.276, step_pde_loss=0.00584, step_regularization=0.0017, step_u_loss=0.438]
Train vKANPDE:   0%|          | 9/10000 [00:01<08:34, 19.42it/s, step_loss=0.713, step_pd_loss=0.272, step_pde_loss=0.0049, step_regularization=0.00264, step_u_loss=0.436]
Train vKANPDE:   0%|          | 9/10000 [00:01<08:34, 19.42it/s, step_loss=0.7, step_pd_loss=0.267, step_pde_loss=0.00872, step_regularization=0.00523, step_u_loss=0.424] 
Train vKANPDE:   0%|          | 9/10000 [00:01<08:34, 19.42it/s, step_loss=0.684, step_pd_loss=0.259, step_pde_loss=0.00974, step_regularization=0.00572, step_u_loss=0.415]
Train vKANPDE:   0%|          | 9/10000 [00:01<08:34, 19.42it/s, step_loss=0.681, step_pd_loss=0.249, step_pde_loss=0.00909, step_regularization=0.00466, step_u_loss=0.424]
Train vKANPDE:   0%|          | 13/10000 [00:01<14:11, 11.72it/s, step_loss=0.681, step_pd_loss=0.249, step_pde_loss=0.00909, step_regularization=0.00466, step_u_loss=0.424]
Train vKANPDE:   0%|          | 13/10000 [00:01<14:11, 11.72it/s, step_loss=0.68, step_pd_loss=0.24, step_pde_loss=0.00863, step_regularization=0.00277, step_u_loss=0.432]  
Train vKANPDE:   0%|          | 13/10000 [00:01<14:11, 11.72it/s, step_loss=0.664, step_pd_loss=0.235, step_pde_loss=0.00891, step_regularization=0.000775, step_u_loss=0.42]
Train vKANPDE:   0%|          | 13/10000 [00:01<14:11, 11.72it/s, step_loss=0.651, step_pd_loss=0.234, step_pde_loss=0.00955, step_regularization=0.00094, step_u_loss=0.408]
Train vKANPDE:   0%|          | 13/10000 [00:01<14:11, 11.72it/s, step_loss=0.648, step_pd_loss=0.232, step_pde_loss=0.01, step_regularization=0.00166, step_u_loss=0.406]   
Train vKANPDE:   0%|          | 17/10000 [00:01<10:22, 16.03it/s, step_loss=0.648, step_pd_loss=0.232, step_pde_loss=0.01, step_regularization=0.00166, step_u_loss=0.406]
Train vKANPDE:   0%|          | 17/10000 [00:01<10:22, 16.03it/s, step_loss=0.646, step_pd_loss=0.228, step_pde_loss=0.0101, step_regularization=0.00145, step_u_loss=0.408]
Train vKANPDE:   0%|          | 17/10000 [00:01<10:22, 16.03it/s, step_loss=0.638, step_pd_loss=0.22, step_pde_loss=0.0103, step_regularization=0.000685, step_u_loss=0.407]
Train vKANPDE:   0%|          | 17/10000 [00:01<10:22, 16.03it/s, step_loss=0.627, step_pd_loss=0.21, step_pde_loss=0.0114, step_regularization=0.00117, step_u_loss=0.406] 
Train vKANPDE:   0%|          | 20/10000 [00:01<14:43, 11.29it/s, step_loss=0.627, step_pd_loss=0.21, step_pde_loss=0.0114, step_regularization=0.00117, step_u_loss=0.406]
Train vKANPDE:   0%|          | 20/10000 [00:01<14:43, 11.29it/s, step_loss=0.618, step_pd_loss=0.196, step_pde_loss=0.0136, step_regularization=0.00256, step_u_loss=0.408]
Train vKANPDE:   0%|          | 20/10000 [00:01<14:43, 11.29it/s, step_loss=0.612, step_pd_loss=0.184, step_pde_loss=0.0156, step_regularization=0.0037, step_u_loss=0.413] 
Train vKANPDE:   0%|          | 20/10000 [00:01<14:43, 11.29it/s, step_loss=0.6, step_pd_loss=0.174, step_pde_loss=0.0167, step_regularization=0.00441, step_u_loss=0.409] 
Train vKANPDE:   0%|          | 20/10000 [00:01<14:43, 11.29it/s, step_loss=0.587, step_pd_loss=0.167, step_pde_loss=0.0169, step_regularization=0.00467, step_u_loss=0.403]
Train vKANPDE:   0%|          | 24/10000 [00:01<11:00, 15.11it/s, step_loss=0.587, step_pd_loss=0.167, step_pde_loss=0.0169, step_regularization=0.00467, step_u_loss=0.403]
Train vKANPDE:   0%|          | 24/10000 [00:01<11:00, 15.11it/s, step_loss=0.58, step_pd_loss=0.161, step_pde_loss=0.0169, step_regularization=0.00449, step_u_loss=0.402] 
Train vKANPDE:   0%|          | 24/10000 [00:01<11:00, 15.11it/s, step_loss=0.574, step_pd_loss=0.152, step_pde_loss=0.0175, step_regularization=0.00388, step_u_loss=0.404]
Train vKANPDE:   0%|          | 24/10000 [00:01<11:00, 15.11it/s, step_loss=0.565, step_pd_loss=0.14, step_pde_loss=0.0191, step_regularization=0.00297, step_u_loss=0.406] 
Train vKANPDE:   0%|          | 24/10000 [00:01<11:00, 15.11it/s, step_loss=0.555, step_pd_loss=0.127, step_pde_loss=0.0216, step_regularization=0.00245, step_u_loss=0.406]
Train vKANPDE:   0%|          | 28/10000 [00:01<08:49, 18.85it/s, step_loss=0.555, step_pd_loss=0.127, step_pde_loss=0.0216, step_regularization=0.00245, step_u_loss=0.406]
Train vKANPDE:   0%|          | 28/10000 [00:01<08:49, 18.85it/s, step_loss=0.549, step_pd_loss=0.118, step_pde_loss=0.0236, step_regularization=0.00237, step_u_loss=0.408]
Train vKANPDE:   0%|          | 28/10000 [00:02<08:49, 18.85it/s, step_loss=0.545, step_pd_loss=0.112, step_pde_loss=0.0237, step_regularization=0.00257, step_u_loss=0.409]
Train vKANPDE:   0%|          | 28/10000 [00:02<08:49, 18.85it/s, step_loss=0.545, step_pd_loss=0.111, step_pde_loss=0.0223, step_regularization=0.00301, step_u_loss=0.412]
Train vKANPDE:   0%|          | 31/10000 [00:02<11:47, 14.09it/s, step_loss=0.545, step_pd_loss=0.111, step_pde_loss=0.0223, step_regularization=0.00301, step_u_loss=0.412]
Train vKANPDE:   0%|          | 31/10000 [00:02<11:47, 14.09it/s, step_loss=0.544, step_pd_loss=0.108, step_pde_loss=0.0214, step_regularization=0.00358, step_u_loss=0.414]
Train vKANPDE:   0%|          | 31/10000 [00:02<11:47, 14.09it/s, step_loss=0.54, step_pd_loss=0.104, step_pde_loss=0.0219, step_regularization=0.00406, step_u_loss=0.414] 
Train vKANPDE:   0%|          | 31/10000 [00:02<11:47, 14.09it/s, step_loss=0.536, step_pd_loss=0.0985, step_pde_loss=0.0229, step_regularization=0.00424, step_u_loss=0.414]
Train vKANPDE:   0%|          | 31/10000 [00:02<11:47, 14.09it/s, step_loss=0.536, step_pd_loss=0.0964, step_pde_loss=0.0231, step_regularization=0.0043, step_u_loss=0.416] 
Train vKANPDE:   0%|          | 31/10000 [00:02<11:47, 14.09it/s, step_loss=0.533, step_pd_loss=0.0967, step_pde_loss=0.0215, step_regularization=0.00441, step_u_loss=0.415]
Train vKANPDE:   0%|          | 36/10000 [00:02<08:50, 18.78it/s, step_loss=0.533, step_pd_loss=0.0967, step_pde_loss=0.0215, step_regularization=0.00441, step_u_loss=0.415]
Train vKANPDE:   0%|          | 36/10000 [00:02<08:50, 18.78it/s, step_loss=0.529, step_pd_loss=0.0975, step_pde_loss=0.0193, step_regularization=0.00472, step_u_loss=0.413]
Train vKANPDE:   0%|          | 36/10000 [00:02<08:50, 18.78it/s, step_loss=0.524, step_pd_loss=0.0947, step_pde_loss=0.0182, step_regularization=0.0052, step_u_loss=0.411] 
Train vKANPDE:   0%|          | 36/10000 [00:02<08:50, 18.78it/s, step_loss=0.52, step_pd_loss=0.0911, step_pde_loss=0.0177, step_regularization=0.00571, step_u_loss=0.411]
Train vKANPDE:   0%|          | 36/10000 [00:02<08:50, 18.78it/s, step_loss=0.516, step_pd_loss=0.0905, step_pde_loss=0.0164, step_regularization=0.00609, step_u_loss=0.409]
Train vKANPDE:   0%|          | 40/10000 [00:02<12:17, 13.50it/s, step_loss=0.516, step_pd_loss=0.0905, step_pde_loss=0.0164, step_regularization=0.00609, step_u_loss=0.409]
Train vKANPDE:   0%|          | 40/10000 [00:02<12:17, 13.50it/s, step_loss=0.512, step_pd_loss=0.0918, step_pde_loss=0.0148, step_regularization=0.00636, step_u_loss=0.406]
Train vKANPDE:   0%|          | 40/10000 [00:02<12:17, 13.50it/s, step_loss=0.511, step_pd_loss=0.0928, step_pde_loss=0.0136, step_regularization=0.00664, step_u_loss=0.405]
Train vKANPDE:   0%|          | 40/10000 [00:02<12:17, 13.50it/s, step_loss=0.508, step_pd_loss=0.0908, step_pde_loss=0.0128, step_regularization=0.00703, step_u_loss=0.404]
Train vKANPDE:   0%|          | 40/10000 [00:02<12:17, 13.50it/s, step_loss=0.504, step_pd_loss=0.0885, step_pde_loss=0.0119, step_regularization=0.00747, step_u_loss=0.404]
Train vKANPDE:   0%|          | 44/10000 [00:02<09:51, 16.83it/s, step_loss=0.504, step_pd_loss=0.0885, step_pde_loss=0.0119, step_regularization=0.00747, step_u_loss=0.404]
Train vKANPDE:   0%|          | 44/10000 [00:03<09:51, 16.83it/s, step_loss=0.502, step_pd_loss=0.0884, step_pde_loss=0.0109, step_regularization=0.00789, step_u_loss=0.403]
Train vKANPDE:   0%|          | 44/10000 [00:03<09:51, 16.83it/s, step_loss=0.501, step_pd_loss=0.0878, step_pde_loss=0.0102, step_regularization=0.00826, step_u_loss=0.403]
Train vKANPDE:   0%|          | 44/10000 [00:03<09:51, 16.83it/s, step_loss=0.497, step_pd_loss=0.084, step_pde_loss=0.00972, step_regularization=0.00857, step_u_loss=0.403]
Train vKANPDE:   0%|          | 44/10000 [00:03<09:51, 16.83it/s, step_loss=0.493, step_pd_loss=0.0798, step_pde_loss=0.00932, step_regularization=0.00887, step_u_loss=0.404]
Train vKANPDE:   0%|          | 48/10000 [00:03<08:13, 20.17it/s, step_loss=0.493, step_pd_loss=0.0798, step_pde_loss=0.00932, step_regularization=0.00887, step_u_loss=0.404]
Train vKANPDE:   0%|          | 48/10000 [00:03<08:13, 20.17it/s, step_loss=0.491, step_pd_loss=0.0782, step_pde_loss=0.00871, step_regularization=0.00919, step_u_loss=0.404]
Train vKANPDE:   0%|          | 48/10000 [00:03<08:13, 20.17it/s, step_loss=0.489, step_pd_loss=0.0773, step_pde_loss=0.00797, step_regularization=0.00953, step_u_loss=0.404]
Train vKANPDE:   0%|          | 48/10000 [00:03<08:13, 20.17it/s, step_loss=0.487, step_pd_loss=0.0748, step_pde_loss=0.00757, step_regularization=0.00999, step_u_loss=0.405]
Train vKANPDE:   0%|          | 48/10000 [00:03<08:13, 20.17it/s, step_loss=0.488, step_pd_loss=0.0772, step_pde_loss=0.00669, step_regularization=0.0103, step_u_loss=0.404] 
Train vKANPDE:   1%|          | 52/10000 [00:03<11:40, 14.20it/s, step_loss=0.488, step_pd_loss=0.0772, step_pde_loss=0.00669, step_regularization=0.0103, step_u_loss=0.404]
Train vKANPDE:   1%|          | 52/10000 [00:03<11:40, 14.20it/s, step_loss=0.49, step_pd_loss=0.0816, step_pde_loss=0.00581, step_regularization=0.0105, step_u_loss=0.402] 
Train vKANPDE:   1%|          | 52/10000 [00:03<11:40, 14.20it/s, step_loss=0.492, step_pd_loss=0.0847, step_pde_loss=0.00517, step_regularization=0.0108, step_u_loss=0.402]
Train vKANPDE:   1%|          | 52/10000 [00:03<11:40, 14.20it/s, step_loss=0.491, step_pd_loss=0.0891, step_pde_loss=0.00415, step_regularization=0.0113, step_u_loss=0.398]
Train vKANPDE:   1%|          | 52/10000 [00:03<11:40, 14.20it/s, step_loss=0.491, step_pd_loss=0.0916, step_pde_loss=0.0034, step_regularization=0.0117, step_u_loss=0.396] 
Train vKANPDE:   1%|          | 52/10000 [00:03<11:40, 14.20it/s, step_loss=0.49, step_pd_loss=0.0912, step_pde_loss=0.00306, step_regularization=0.0118, step_u_loss=0.395]
Train vKANPDE:   1%|          | 57/10000 [00:03<08:58, 18.47it/s, step_loss=0.49, step_pd_loss=0.0912, step_pde_loss=0.00306, step_regularization=0.0118, step_u_loss=0.395]
Train vKANPDE:   1%|          | 57/10000 [00:03<08:58, 18.47it/s, step_loss=0.487, step_pd_loss=0.0898, step_pde_loss=0.00275, step_regularization=0.0119, step_u_loss=0.395]
Train vKANPDE:   1%|          | 57/10000 [00:03<08:58, 18.47it/s, step_loss=0.487, step_pd_loss=0.0899, step_pde_loss=0.0024, step_regularization=0.0124, step_u_loss=0.395] 
Train vKANPDE:   1%|          | 57/10000 [00:04<08:58, 18.47it/s, step_loss=0.484, step_pd_loss=0.0862, step_pde_loss=0.00232, step_regularization=0.0126, step_u_loss=0.396]
Train vKANPDE:   1%|          | 60/10000 [00:04<11:26, 14.49it/s, step_loss=0.484, step_pd_loss=0.0862, step_pde_loss=0.00232, step_regularization=0.0126, step_u_loss=0.396]
Train vKANPDE:   1%|          | 60/10000 [00:04<11:26, 14.49it/s, step_loss=0.485, step_pd_loss=0.0871, step_pde_loss=0.00211, step_regularization=0.0127, step_u_loss=0.396]
Train vKANPDE:   1%|          | 60/10000 [00:04<11:26, 14.49it/s, step_loss=0.483, step_pd_loss=0.0839, step_pde_loss=0.00228, step_regularization=0.0131, step_u_loss=0.396]
Train vKANPDE:   1%|          | 60/10000 [00:04<11:26, 14.49it/s, step_loss=0.484, step_pd_loss=0.0859, step_pde_loss=0.00192, step_regularization=0.0133, step_u_loss=0.397]
Train vKANPDE:   1%|          | 60/10000 [00:04<11:26, 14.49it/s, step_loss=0.483, step_pd_loss=0.085, step_pde_loss=0.00174, step_regularization=0.0131, step_u_loss=0.396] 
Train vKANPDE:   1%|          | 64/10000 [00:04<09:13, 17.96it/s, step_loss=0.483, step_pd_loss=0.085, step_pde_loss=0.00174, step_regularization=0.0131, step_u_loss=0.396]
Train vKANPDE:   1%|          | 64/10000 [00:04<09:13, 17.96it/s, step_loss=0.477, step_pd_loss=0.0802, step_pde_loss=0.00181, step_regularization=0.0139, step_u_loss=0.395]
Train vKANPDE:   1%|          | 64/10000 [00:04<09:13, 17.96it/s, step_loss=0.476, step_pd_loss=0.0788, step_pde_loss=0.00168, step_regularization=0.014, step_u_loss=0.396] 
Train vKANPDE:   1%|          | 64/10000 [00:04<09:13, 17.96it/s, step_loss=0.475, step_pd_loss=0.0748, step_pde_loss=0.00196, step_regularization=0.0133, step_u_loss=0.399]
Train vKANPDE:   1%|          | 64/10000 [00:04<09:13, 17.96it/s, step_loss=0.478, step_pd_loss=0.0771, step_pde_loss=0.00123, step_regularization=0.0138, step_u_loss=0.4]  
Train vKANPDE:   1%|          | 68/10000 [00:04<07:41, 21.52it/s, step_loss=0.478, step_pd_loss=0.0771, step_pde_loss=0.00123, step_regularization=0.0138, step_u_loss=0.4]
Train vKANPDE:   1%|          | 68/10000 [00:04<07:41, 21.52it/s, step_loss=0.474, step_pd_loss=0.0733, step_pde_loss=0.00246, step_regularization=0.0148, step_u_loss=0.399]
Train vKANPDE:   1%|          | 68/10000 [00:04<07:41, 21.52it/s, step_loss=0.476, step_pd_loss=0.0742, step_pde_loss=0.00213, step_regularization=0.0146, step_u_loss=0.399]
Train vKANPDE:   1%|          | 68/10000 [00:04<07:41, 21.52it/s, step_loss=0.484, step_pd_loss=0.0823, step_pde_loss=0.00184, step_regularization=0.0136, step_u_loss=0.4]  
Train vKANPDE:   1%|          | 68/10000 [00:04<07:41, 21.52it/s, step_loss=0.481, step_pd_loss=0.0806, step_pde_loss=0.00219, step_regularization=0.0135, step_u_loss=0.398]
Train vKANPDE:   1%|          | 68/10000 [00:04<07:41, 21.52it/s, step_loss=0.479, step_pd_loss=0.0844, step_pde_loss=0.00135, step_regularization=0.0144, step_u_loss=0.393]
Train vKANPDE:   1%|          | 73/10000 [00:04<06:22, 25.98it/s, step_loss=0.479, step_pd_loss=0.0844, step_pde_loss=0.00135, step_regularization=0.0144, step_u_loss=0.393]
Train vKANPDE:   1%|          | 73/10000 [00:04<06:22, 25.98it/s, step_loss=0.486, step_pd_loss=0.0916, step_pde_loss=0.00116, step_regularization=0.0142, step_u_loss=0.393]
Train vKANPDE:   1%|          | 73/10000 [00:04<06:22, 25.98it/s, step_loss=0.487, step_pd_loss=0.0923, step_pde_loss=0.0016, step_regularization=0.0145, step_u_loss=0.393] 
Train vKANPDE:   1%|          | 73/10000 [00:04<06:22, 25.98it/s, step_loss=0.485, step_pd_loss=0.092, step_pde_loss=0.00161, step_regularization=0.0139, step_u_loss=0.392]
Train vKANPDE:   1%|          | 73/10000 [00:04<06:22, 25.98it/s, step_loss=0.487, step_pd_loss=0.0933, step_pde_loss=0.0012, step_regularization=0.0142, step_u_loss=0.393]
Train vKANPDE:   1%|          | 73/10000 [00:04<06:22, 25.98it/s, step_loss=0.486, step_pd_loss=0.092, step_pde_loss=0.00208, step_regularization=0.015, step_u_loss=0.392] 
Train vKANPDE:   1%|          | 78/10000 [00:04<05:33, 29.73it/s, step_loss=0.486, step_pd_loss=0.092, step_pde_loss=0.00208, step_regularization=0.015, step_u_loss=0.392]
